date,close,high,low,volume,tesla,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ADX_14,DMP_14,DMN_14,TTM_TRND_6,label
2020-04-14 13:00:00,146.41799926757812,148.37600708007812,138.73199462890625,11488192.0,92.0,135.1940996961646,141.11879272460936,147.0434857530541,8.396745626936697,100.0,4.470090015251202,-0.26710501886727656,4.7371950341184785,100.0,82.03662616800874,0.0,1,2.0
2020-04-14 14:00:00,144.80599975585938,147.45999145507812,141.31283569335938,5196940.0,100.0,135.6467572142827,142.1211944580078,148.5956317017329,9.111149492397619,87.39082209950175,4.521395839218343,-0.1726393559201087,4.694035195138452,100.0,59.18404993096201,0.0,1,0.0
2020-04-14 15:00:00,145.80999755859375,146.99000549316406,144.39999389648438,3000937.0,93.0,136.77678064050002,143.32439575195312,149.87201086340622,9.136776857981447,88.37407832471149,4.590157824148974,-0.08310189679158242,4.673259720940557,100.0,52.54270701403414,0.0,1,0.0
2020-04-14 16:00:00,146.47500610351562,147.39598083496094,145.59799194335938,1928547.0,89.0,139.05643424759262,144.6605987548828,150.264763262173,7.748017850784725,88.98667887398017,4.644770797986979,-0.022791138362862284,4.667561936349841,100.0,50.22356885790899,0.0,1,0.0
2020-04-14 17:00:00,145.56500244140625,147.7364044189453,145.4604034423828,2082868.0,93.0,144.44373528232106,145.81480102539064,147.18586676846022,1.880557712149998,82.5746245308162,4.562033994780251,-0.08442235325567271,4.646456348035923,100.0,46.857649386141894,0.0,1,2.0
2020-04-14 18:00:00,143.05899047851562,145.97799682617188,141.8000030517578,3519764.0,93.0,142.52500826039173,145.14299926757812,147.7609902747645,3.6074643908384414,68.03565988488236,4.2453129354586,-0.3209147300618591,4.566227665520459,95.82227307546052,39.41997941449379,13.906605883736612,-1,2.0
2020-04-14 19:00:00,141.9510040283203,143.5959930419922,140.55401611328125,2326012.0,96.0,140.66061395737094,144.5720001220703,148.48338628676967,5.4109871363704745,62.773106805179054,3.8604036372797736,-0.5646592225925486,4.425062859872322,90.98779290341199,35.056800040366625,16.900996187367983,-1,1.0
2020-04-15 13:00:00,147.85000610351562,150.5019989013672,145.3280029296875,8493029.0,90.0,146.16573989100374,147.05480346679687,147.94386704259,1.2091595171780567,77.1918864309466,1.8802780318950454,-0.47457954380679546,2.354857575701841,59.97449338738865,51.493343830170254,8.863342573267401,1,2.0
2020-04-15 14:00:00,145.3199920654297,148.07199096679688,143.63800048828125,3541747.0,90.0,144.93414684195187,146.7476013183594,148.5610557947669,2.4715286111877806,53.51723496922374,1.6226668673695883,-0.5857525666658021,2.2084194340353904,58.514872802430276,38.260084165726695,16.38066858854683,-1,0.0
2020-04-15 15:00:00,145.03399658203125,146.04800415039062,142.0,2923949.0,86.0,144.02749081480627,146.3832000732422,148.73890933167812,3.2185513873958946,51.591010476495015,1.3795283737823354,-0.6631128482024442,2.0426412219847796,55.55104859977177,30.542925240165847,21.238437941700347,-1,0.0
2020-04-15 16:00:00,145.9709930419922,147.3979949951172,143.63999938964844,2346065.0,83.0,143.89555105398833,146.2061981201172,148.51684518624606,3.160805897203523,57.045848256226414,1.2480602873073394,-0.6356647477419524,1.8837250350492918,53.54314348476374,31.44582221520284,17.674304006031743,-1,0.0
2020-04-15 17:00:00,145.9533233642578,146.77980041503906,145.04800415039062,1905111.0,83.0,143.83070816837903,146.02566223144532,148.22061629451161,3.006257981679096,56.91560281707917,1.1294257690554446,-0.6034394127950777,1.7328651818505223,51.68464267087359,29.028256320391073,16.31549728483685,-1,0.0
2020-04-15 18:00:00,144.87338256835938,147.25,144.4459991455078,2307560.0,84.0,144.40794637452902,145.43033752441406,146.4527286742991,1.4060218346304876,49.479881047518425,0.9374584246661186,-0.6363254057475232,1.5737838304136418,49.408021713979835,25.596882170265605,16.924744967713732,-1,0.0
2020-04-15 19:00:00,145.9050750732422,146.06800842285156,144.1999969482422,1532260.0,87.0,144.45647427094858,145.54735412597657,146.63823398100456,1.4990033471632829,55.46567394740403,0.8586736290279191,-0.5720881611085784,1.4307617901364975,47.07595704365212,23.595785674022697,16.63114675842468,1,0.0
2020-04-16 13:00:00,145.34799194335938,145.5439910888672,141.68505859375,4899620.0,76.0,142.67149196148276,144.08432006835938,145.497148175236,1.9611129180556424,63.66367105994476,-0.10807299263245795,0.05363115919683997,-0.16170415182929793,22.87439586539304,13.803978167858613,30.229788574685585,1,1.0
2020-04-16 14:00:00,151.14100646972656,151.88999938964844,144.56800842285156,4536095.0,75.0,139.16962792165896,145.5588409423828,151.94805396310664,8.778873175079642,84.81344997001787,0.4598567229267019,0.49724869980479985,-0.03739197687809796,24.374195204710983,44.6201902261562,17.44522579606784,1,2.0
2020-04-16 15:00:00,148.14199829101562,151.55577087402344,147.0540008544922,3440646.0,79.0,140.07247497975897,146.43356018066407,152.79464538156918,8.688015497345072,64.03403311022362,0.660338249659361,0.5581841812299672,0.10215406842939385,25.766004724242293,34.85896885045952,13.628865756333832,1,0.0
2020-04-16 16:00:00,148.11720275878906,148.83200073242188,146.4048309326172,2032317.0,76.0,141.61011592196726,147.3033203125,152.99652470303275,7.7299063978391835,63.894648898870564,0.8079074574955598,0.5646027112529328,0.24330474624262705,26.382769804398958,30.930195032787964,15.107226376539472,1,0.0
2020-04-16 17:00:00,148.13511657714844,148.56399536132812,146.60000610351562,1508859.0,75.0,144.07847148228677,148.17666320800782,152.27485493372888,5.531494146238239,63.95569231492324,0.9157464581765566,0.5379533695471437,0.37779308862941297,26.955174998444946,28.164129313011728,13.756197682515792,1,0.0
2020-04-16 18:00:00,148.6540069580078,149.3654022216797,147.60000610351562,1695488.0,80.0,146.2233482252338,148.8378662109375,151.45238419664122,3.513243037223256,65.76143138074546,1.0311928115060027,0.5227197783012718,0.5084730332047309,27.889478316851193,29.53698444582825,12.66020340864652,1,0.0
2020-04-16 19:00:00,149.13088989257812,149.6999969482422,148.55201721191406,1541215.0,83.0,147.53639951587223,148.43584289550782,149.3352862751434,1.2118951354205638,67.37890670044746,1.147932692097271,0.511567727114032,0.636364964983239,28.91615119926083,29.51634341981509,11.991169331897936,1,1.0
2020-04-17 13:00:00,152.406005859375,154.42800903320312,151.18399047851562,4305314.0,78.0,152.33348671035878,153.02039794921876,153.70730918807874,0.8978034929538417,64.24643503247039,1.4492476697797656,-0.32047839627131314,1.7697260660510787,46.98586250570699,26.446251960678293,26.46121276066256,-1,2.0
2020-04-17 14:00:00,151.23399353027344,152.60000610351562,150.25999450683594,2099149.0,78.0,150.9333466815129,152.6323974609375,154.33144824036214,2.2263304615384216,50.352825648007226,1.2205886208114975,-0.43930995619166513,1.6598985770031627,44.74988457210336,21.171119444968546,29.059379585794577,-1,1.0
2020-04-17 15:00:00,152.39199829101562,152.9300079345703,151.0,1408883.0,76.0,150.88573621973484,152.4759979248047,154.06625962987454,2.085917425317138,59.63993841050117,1.1199063995900076,-0.431993741930524,1.5519001415205316,42.20344784651705,20.55815960535372,24.685755597575827,-1,2.0
